image,setup,Trunk-Cam_dist[mm],ObjType,Position,Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_2_1.png,2D,1531.0,Apple,1,-0.5,1.892,0,-0.5046630496209258,1.937640263484123,0.062,0.11000000000000004,0.07810249675906658
color_1_2_1.png,2D,1531.0,Apple,2,0.0,1.892,0,7.40651581983549e-05,1.9505417840926593,0.053,0.11000000000000006,0.07810249675906658
color_1_2_1.png,2D,1531.0,Apple,3,0.5,1.892,0,0.49559535863430537,1.925670349967358,0.059,0.10000000000000003,0.07211102550927981
color_1_2_1.png,2D,1531.0,Apple,4,-0.5,1.592,0,-0.5063547973255634,1.6402293544198874,0.049,0.10999999999999983,0.07141428428542838
color_1_2_1.png,2D,1531.0,Apple,5,0.0,1.593,0,0.001156521324301119,1.6400098513133863,0.043,0.08999999999999983,0.06403124237432835
color_1_2_1.png,2D,1531.0,Apple,6,0.5,1.591,0,0.500856693063639,1.6295931634965928,0.053,0.08999999999999982,0.06403124237432838
color_1_2_1.png,2D,1531.0,Apple,7,-0.5,1.292,0,-0.5161343486014986,1.34027238331365,0.033,0.10000000000000006,0.061644140029689806
color_1_2_1.png,2D,1531.0,Apple,8,0.0,1.293,0,0.003185852788562456,1.3451265677378657,0.027,0.09000000000000005,0.06708203932499374
color_1_2_1.png,2D,1531.0,Apple,9,0.5,1.292,0,0.5035323156187387,1.3263289165022336,0.03,0.07000000000000003,0.05000000000000003
color_1_2_1.png,2D,1531.0,Apple,10,-0.5,0.992,0,-0.5072562314224274,1.0145399238595434,0.027,0.060000000000000026,0.03741657386773943
color_1_2_1.png,2D,1531.0,Apple,11,0.0,0.992,0,-0.0013746970708901803,1.0028236680921607,0.007,0.02000000000000001,0.014142135623730958
color_1_2_1.png,2D,1531.0,Apple,12,0.5,0.992,0,0.49435681856546276,1.0126640856176692,0.043,0.07000000000000003,0.04582575694955841
color_1_2_1.png,2D,1531.0,Apple,13,-0.5,0.692,0,-0.5180116445142492,0.7078384839393516,0.02,0.06000000000000004,0.03464101615137757
color_1_2_1.png,2D,1531.0,Apple,14,0.0,0.691,0,-0.004645072035111152,0.7119783285776111,0.017,0.04000000000000002,0.028284271247461915
color_1_2_1.png,2D,1531.0,Apple,15,0.5,0.691,0,0.4981681893242718,0.7229076367850829,0.043,0.07000000000000003,0.05000000000000002
color_1_3_0.png,2D,1535.0,Apple,1,-0.5,1.897,0,-0.5075193148040777,1.9559954183690684,0.036,0.11000000000000007,0.07280109889280523
color_1_3_0.png,2D,1535.0,Apple,2,0.0,1.898,0,0.0011217367690986642,1.9508384854064125,0.042,0.09000000000000005,0.06403124237432853
color_1_3_0.png,2D,1535.0,Apple,3,0.5,1.897,0,0.49772005900787514,1.9318764059944105,0.049,0.08000000000000003,0.05830951894845302
color_1_3_0.png,2D,1535.0,Apple,4,-0.5,1.595,0,-0.5148381598937272,1.6397629097684243,0.026,0.07999999999999982,0.0509901951359277
color_1_3_0.png,2D,1535.0,Apple,5,0.0,1.593,0,0.002080733635222711,1.6504649878600717,0.033,0.08999999999999983,0.06708203932499354
color_1_3_0.png,2D,1535.0,Apple,6,0.5,1.593,0,0.5071666943113179,1.642802646577714,0.023,0.07999999999999984,0.05477225575051645
color_1_3_0.png,2D,1535.0,Apple,7,-0.5,1.293,0,-0.5140492803828173,1.33851077336111,0.023,0.08000000000000006,0.054772255750516655
color_1_3_0.png,2D,1535.0,Apple,8,0.0,1.294,0,0.000784320345240106,1.3434803765945116,0.013,0.060000000000000046,0.05099019513592789
color_1_3_0.png,2D,1535.0,Apple,9,0.5,1.294,0,0.5191510102529853,1.3319781444614787,-0.014,0.07000000000000006,0.04582575694955844
color_1_3_0.png,2D,1535.0,Apple,10,-0.5,0.997,0,-0.5245064152715904,1.0363478988021448,-0.003,0.06000000000000005,0.044721359549995836
color_1_3_0.png,2D,1535.0,Apple,11,0.0,0.997,0,-0.0014984227870212016,1.008295483653275,0.01,0.02000000000000001,0.014142135623730958
color_1_3_0.png,2D,1535.0,Apple,12,0.5,0.995,0,0.5199673842043845,1.031509520491172,-0.007,0.060000000000000046,0.037416573867739444
color_1_3_0.png,2D,1535.0,Apple,13,-0.5,0.695,0,-0.5178526168231159,0.7168255209899727,0.013,0.05000000000000004,0.030000000000000023
color_1_3_0.png,2D,1535.0,Apple,14,0.0,0.697,0,-0.007055565749011029,0.7121539658321535,0.003,0.02000000000000001,0.014142135623730958
color_1_3_0.png,2D,1535.0,Apple,15,0.5,0.696,0,0.5080992697408497,0.7136497414305311,0.017,0.04000000000000002,0.02449489742783179
color_1_3_1.png,2D,1528.0,Apple,1,-0.5,1.897,0,-0.5112312081201882,1.9576313921673623,0.036,0.11000000000000007,0.07280109889280523
color_1_3_1.png,2D,1528.0,Apple,2,0.0,1.898,0,-0.0010799842939238004,1.9490902242402457,0.039,0.09000000000000005,0.06403124237432853
color_1_3_1.png,2D,1528.0,Apple,3,0.5,1.897,0,0.500449067543467,1.9327973702934855,0.046,0.08000000000000003,0.05830951894845302
color_1_3_1.png,2D,1528.0,Apple,4,-0.5,1.595,0,-0.507945871283568,1.6291114584785111,0.052,0.08999999999999982,0.05916079783099607
color_1_3_1.png,2D,1528.0,Apple,5,0.0,1.593,0,0.0010523452694619594,1.648475783960624,0.033,0.08999999999999983,0.06708203932499354
color_1_3_1.png,2D,1528.0,Apple,6,0.5,1.593,0,0.5049132246629433,1.641884705157452,0.026,0.07999999999999982,0.05830951894845285
