image,setup,Trunk-Cam_dist[mm],ObjType,Position,FSize[1],FSize[2],FSize[3],Xgt[m],Ygt[m],Zgt[m],Xestimated[m],Yestimated[m],Zestimated[m],Manhattan[m],Euclidean[m]
color_1_2_1.png,2D,1531.0,Apple,14,0.05911,0.05903,0.054700000000000006,0.0,0.054,0.663,0.0,0.04,0.693,0.03999999999999992,0.031622776601683715
color_1_2_1.png,2D,1531.0,Apple,15,0.061340000000000006,0.06096,0.05324,-0.469,0.054,0.663,-0.469,0.05,0.693,0.029999999999999916,0.029999999999999916
color_1_3_0.png,2D,1535.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.057,1.879,0.476,0.025,1.929,0.09000000000000004,0.06403124237432851
color_1_3_0.png,2D,1535.0,Apple,2,0.047310000000000005,0.04722,0.04008,0.0,0.057,1.88,0.0,0.026,1.93,0.08000000000000004,0.05830951894845304
color_1_3_0.png,2D,1535.0,Apple,3,0.047920000000000004,0.046560000000000004,0.04639,-0.476,0.059,1.877,-0.476,0.037,1.907,0.050000000000000024,0.03605551275463991
color_1_3_0.png,2D,1535.0,Apple,4,0.05074,0.051590000000000004,0.045329999999999995,0.475,0.058,1.577,0.475,0.04,1.617,0.06000000000000003,0.04472135954999582
color_1_3_0.png,2D,1535.0,Apple,5,0.0533,0.05274,0.055990000000000005,0.0,0.06,1.562,0.0,0.04,1.622,0.08000000000000004,0.06324555320336764
color_1_3_0.png,2D,1535.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.059,1.563,-0.473,0.04,1.613,0.07000000000000003,0.05385164807134508
color_1_3_0.png,2D,1535.0,Apple,7,0.05568,0.055689999999999996,0.05054,0.472,0.058,1.265,0.472,0.03,1.315,0.09000000000000005,0.06708203932499374
color_1_3_0.png,2D,1535.0,Apple,8,0.055549999999999995,0.05374,0.04924,0.0,0.058,1.265,0.0,0.03,1.315,0.09000000000000005,0.06708203932499374
color_1_3_0.png,2D,1535.0,Apple,9,0.0508,0.05176,0.05107,-0.475,0.059,1.264,-0.475,0.0,1.304,0.10000000000000003,0.07211102550927981
color_1_3_0.png,2D,1535.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.058,0.978,0.475,0.02,1.018,0.08000000000000003,0.056568542494923824
color_1_3_0.png,2D,1535.0,Apple,11,0.047740000000000005,0.04786,0.04485,0.0,0.058,0.978,0.0,0.02,0.988,0.05,0.0412310562561766
color_1_3_0.png,2D,1535.0,Apple,12,0.052950000000000004,0.05125,0.04795,-0.474,0.058,0.976,-0.474,0.01,1.006,0.08000000000000002,0.058309518948453015
color_1_3_0.png,2D,1535.0,Apple,13,0.05348,0.048310000000000006,0.04739,0.473,0.06,0.676,0.473,0.04,0.696,0.039999999999999904,0.028284271247461832
color_1_3_0.png,2D,1535.0,Apple,14,0.0465,0.0464,0.04376,0.0,0.059,0.678,0.0,0.02,0.688,0.04999999999999989,0.041231056256176575
color_1_3_0.png,2D,1535.0,Apple,15,0.04747,0.0475,0.04828,-0.476,0.059,0.676,-0.476,0.03,0.696,0.049999999999999906,0.03605551275463984
color_1_3_1.png,2D,1528.0,Apple,1,0.04845,0.049159999999999995,0.0418,0.476,0.05,1.879,0.476,0.025,1.929,0.08000000000000004,0.05830951894845304
color_1_3_1.png,2D,1528.0,Apple,2,0.047310000000000005,0.04722,0.04008,0.0,0.05,1.88,0.0,0.026,1.92,0.06000000000000004,0.04472135954999583
color_1_3_1.png,2D,1528.0,Apple,3,0.047920000000000004,0.046560000000000004,0.04639,-0.476,0.052,1.877,-0.476,0.037,1.907,0.04000000000000003,0.03162277660168382
color_1_3_1.png,2D,1528.0,Apple,4,0.05074,0.051590000000000004,0.045329999999999995,0.475,0.051,1.577,0.475,0.034,1.607,0.05000000000000003,0.03605551275463992
color_1_3_1.png,2D,1528.0,Apple,5,0.0533,0.05274,0.055990000000000005,0.0,0.053,1.562,0.0,0.05,1.612,0.050000000000000044,0.050000000000000044
color_1_3_1.png,2D,1528.0,Apple,6,0.053700000000000005,0.05374,0.05364,-0.473,0.052,1.563,-0.473,0.05,1.603,0.040000000000000036,0.040000000000000036
color_1_3_1.png,2D,1528.0,Apple,7,0.05568,0.055689999999999996,0.05054,0.472,0.051,1.265,0.472,0.02,1.305,0.07000000000000003,0.05000000000000003
color_1_3_1.png,2D,1528.0,Apple,8,0.055549999999999995,0.05374,0.04924,0.0,0.051,1.265,0.0,0.02,1.315,0.09000000000000005,0.06708203932499374
color_1_3_1.png,2D,1528.0,Apple,9,0.0508,0.05176,0.05107,-0.475,0.052,1.264,-0.475,0.03,1.304,0.06000000000000004,0.04472135954999583
color_1_3_1.png,2D,1528.0,Apple,10,0.049530000000000005,0.047049999999999995,0.04403,0.475,0.051,0.978,0.475,0.026,1.018,0.06000000000000004,0.04472135954999583
